name,cluster
Edward Faaloloto,3
Kaue Fernandes,0
Yan Cabral,2
Heath Herring,0
Neal Ewing,2
Andre Ewell,3
Jessica Eye,3
Jutaro Nakao,3
Benji Radach,0
Chuck Liddell,3
Chris Lytle,0
Brendan Loughnane,0
Nursulton Ruziboev,0
Andrey Pulyaev,0
Joe Pyfer,3
CM Punk,3
Mike Pyle,0
Magomed Mustafaev,2
Jens Pulver,3
Josias Musasa,0
Azamat Murzakanov,0
Lee Murray,3
Khalid Murtazaliev,2
Nicholas Musoke,3
Tom Murphy,2
Lerone Murphy,0
Samandar Murodov,2
Lauren Murphy,3
Ryuichi Murata,2
Makhmud Muradov,2
Andy Murad,0
Kanako Murata,2
Johnny Munoz,3
Olivier Murad,3
Melissa Mullins,0
Mark Munoz,2
Alexander Munoz,3
Andre Muniz,2
Pedro Munhoz,3
Quinn Mulhern,3
Jamie Mullarkey,0
Lauren Mueller,3
Kin Moy,3
Belal Muhammad,3
Jamie Moyle,0
Eduarda Moura,2
Gegard Mousasi,0
Maryna Moroz,3
Sergey Morozov,2
Miki Motono,3
Sammy Morgan,3
Jesse Moreng,2
Vinicius Moreira,0
Alex Morono,3
Dan Moret,0
Brandon Moreno,0
Gisele Moreira,2
Sarah Moras,3
Michael Morales,0
Christian Morecraft,3
Omar Morales,3
Vince Morales,3
Albert Morales,3
Joseph Morales,3
John Moraga,0
Marlon Moraes,3
Nate Moore,3
Sergio Moraes,3
Homer Moore,2
Antonio Monteiro,0
Nicco Montano,3
Darrell Montague,3
Erick Montano,0
Muhammad Mokaev,2
Todd Moore,3
Ashkan Mokhtarian,0
Nate Mohr,3
Thiago Moises,3
Bobby Moffett,3
Jeff Monson,3
Renato Moicano,0
Tatsuya Mizuno,3
Roxanne Modafferi,3
Mizuki,0
Takeya Mizugaki,3
Tomoya Miyashita,2
Hiromitsu Miura,3
Eiji Mitsuoka,0
Kazuyuki Miyata,2
Roman Mitichyan,3
Bryce Mitchell,2
Terrence Mitchell,3
David Mitchell,3
Dokonjonosuke Mishima,3
Kazuo Misaki,3
Vitor Miranda,0
Mario Miranda,0
Gabriel Miranda,2
Frank Mir,0
Stipe Miocic,0
Alberto Mina,3
Ikuhisa Minowa,3
Darrick Minner,0
Mo Miller,2
Che Mills,0
Juliana Miller,0
Jim Miller,3
Micah Miller,3
Henry Miller,3
Phillip Miller,2
Cole Miller,3
Curtis Millender,0
Jason Miller,0
Pat Miletich,0
Dan Miller,3
Chris Mierzwiak,0
Zachary Micklewright,0
Andreas Michailidis,0
Jonathan Micallef,0
David Michaud,3
Guy Mezger,3
Jonathan Meunier,0
Jeremiah Metcalf,2
Yaotzin Meza,3
Adam Meredith,1
Dave Menne,0
Alonzo Menifield,0
Mateus Mendonca,3
Augusto Mendes,3
Ivan Menjivar,3
Antonio Mendes,0
Chad Mendes,2
Gilbert Melendez,3
Brian Melancon,0
Derrick Mehmen,3
Sanford Alton Meeks,2
Jose Daniel Medina,3
Jordan Mein,0
Gerald Meerschaert,0
Uros Medic,0
Emil Meek,3
Kaline Medeiros,2
Yancy Medeiros,3
James McSweeney,0
Sara McMann,2
Garreth McLellan,0
Tim Means,0
Cody McKenzie,3
Terrance McKinney,2
Cory McKenna,3
Conor McGregor,0
AJ McKee,1
Antonio McKee,0
Greg McIntyre,3
Marcus McGhee,0
Gan McGee,3
Liam McGeary,0
Court McGee,3
Drew McFedries,0
Josh McDonald,1
Michael McDonald,3
Robert McDaniel,0
Rob McCullough,3
Justin McCully,3
Kris McCray,2
Sean McCorkle,0
Tamdan McCrory,0
Danni McCormack,2
Charles McCarthy,3
Michael McBride,0
Ian McCall,3
Francesco Mazzeo,2
Molly McCann,0
Sabina Mazo,0
Brooke Mayo,3
Don'Tale Mayes,0
Gray Maynard,3
Gina Mazany,2
Nick Maximov,2
Jack May,3
Connor Matthews,2
Miranda Maverick,0
Vladimir Matyushenko,2
Naoki Matsushita,3
Koyomi Matsushima,1
Jean Matsumoto,3
Jake Matthews,3
Daijiro Matsui,0
Tiffany Masters,2
Jameel Massouh,0
Mike Massenzio,0
Jorge Masvidal,0
Kazuma Maruyama,2
Bristol Marunde,3
Wagner da Conceicao Martins,3
Adriano Martins,3
Julieta Martinez,2
Roque Martinez,0
Melissa Martinez,0
Mana Martinez,0
Andrew Martinez,3
Victor Martinez,0
Poppies Martinez,0
Danny Martinez,3
Jonathan Martinez,0
Mallory Martin,0
Anthony Rocco Martin,3
Terry Martin,2
Francis Marshall,3
Eliot Marshall,3
Carmelo Marrero,3
John Marsh,3
Danilo Marques,2
Christina Marks,2
Ronny Markes,2
Chepe Mariscal,2
Randa Markos,0
Enrique Marin,3
Nate Marquardt,0
Cristiano Marcello,3
Daniel Marcos,0
Chris Manuel,3
Jose Maria,0
Jimi Manuwa,0
Marnic Mann,3
Steve Mann,0
Michael Mangan,1
Melvin Manhoef,0
Jon Manley,3
Troy Mandaloniz,2
Nate Maness,0
Jacob Malkoun,2
Nazareno Malegarie,3
Fabio Maldonado,0
Mike Malott,0
Aliev Makhmud,3
Azat Maksum,3
Islam Makhachev,2
Levan Makashvili,2
Zach Makovsky,2
Jennifer Maia,3
Nayara Maia,3
Klayton Mai,2
Demian Maia,3
John Maguire,3
Zabit Magomedsharipov,2
Abus Magomedov,2
Lolohea Mahe,3
Rashid Magomedov,0
Ruslan Magomedov,0
Neil Magny,0
Caio Magalhaes,3
Angela Magana,3
Leonardo Mafra,0
Mark Madsen,2
Jon Madsen,3
Vinny Magalhaes,3
Yoshiro Maeda,3
Don Madge,0
Reza Madadi,2
Pauline Macias,3
War Machine,0
Ian Machado Garry,0
Clayton MacFarlane,0
Lyoto Machida,0
Rory MacDonald,3
Jason MacDonald,0
Rob MacDonald,2
Dong Hyun Ma,3
Hugh Pulley,2
William Macario,0
Bubba Pugh,2
Juan Puerta,3
Claudio Puelles,2
Daniel Puder,0
Cole Province,0
Lucie Pudilova,3
Brent Primus,2
Jiri Prochazka,0
Lara Procopio,2
Shane Primm,3
Niko Price,3
Carlos Prates,0
Michel Prazeres,2
Carlo Prater,0
Trevor Prangley,2
Francisco Prado,3
Marcin Prachnio,0
Ruan Potts,3
Callan Potter,2
Ihor Potieria,0
Parker Porter,0
Julia Polastri,0
Santiago Ponzinibbio,3
Ross Pointon,3
Igor Pokrajac,0
Jamal Pogues,0
Dustin Poirier,0
Maki Pitolo,0
Luana Pinheiro,3
Pingyuan Liu,3
Paddy Pimblett,0
Daniel Pineda,0
Jesus Pinedo,3
Domingo Pilarte,0
Sean Pierson,3
Mike Pierce,3
Oskar Piechota,0
Jamie Pickett,0
Nick Piccininni,1
Vinc Pichel,0
Brad Pickett,3
Adam Piccolotti,2
Elizabeth Phillips,3
Kyler Phillips,0
Mario Piazzon,1
Aaron Phillips,0
Cody Pfister,3
Nam Phan,3
Constantinos Philippou,3
Forrest Petz,3
Ivana Petrovic,3
Sergio Pettis,3
Seth Petruzelli,3
Armen Petrosyan,0
Vitor Petrino,2
Anthony Pettis,0
Steven Peterson,3
Thomas Petersen,2
Andre Petroski,2
Viktor Pesta,3
Jay Perrin,2
Mike Perry,0
Thiago Perpetuo,2
Anthony Perosh,3
Markus Perez,0
Ailin Perez,2
Alex Perez,0
Frankie Perez,3
Alejandro Perez,3
Alex Pereira,0
Erik Perez,3
Viviane Pereira,3
Michel Pereira,0
Godofredo Pepey,3
Robert Peralta,0
Tecia Pennington,0
Jessica Penne,3
Raquel Pennington,0
Cathal Pendred,0
Sherman Pendergarst,3
BJ Penn,0
Yan Pellerin,3
Julianna Pena,0
Kurt Pellegrino,3
Luis Pena,0
Trevor Peek,0
Tyson Pedro,0
Carlo Pedersoli Jr.,3
Jonathan Pearce,2
Pawel Pawlak,3
Ross Pearson,3
Estevan Payan,3
Sergei Pavlovich,0
Zac Pauga,0
Sam Patterson,3
Jorge Patino,3
Alan Patrick,3
Jhonoven Pati,2
Ramona Pascual,0
Claude Patrick,0
Preston Parsons,2
Jordan Parsons,3
Mick Parkin,0
Norman Parke,3
JunYong Park,0
HyunSung Park,0
Josh Parisian,0
Karo Parisyan,2
Bryan Pardoe,2
Ruel Panales,0
Alexandre Pantoja,2
Rousimar Palhares,2
Soa Palelei,0
Sasha Palatnikov,0
Bart Palaszewski,3
Fredson Paixao,0
Michael Page,0
Dustin Pague,0
Raulian Paiva,3
Chris Padilla,0
Damacio Page,3
George Pacurariu,2
Teemu Packalen,0
Nick Pace,3
Mike Russow,2
Anthony Ruiz,0
Montserrat Conejo Ruiz,3
Eddie Ruiz,3
Gabe Ruediger,3
Rodolfo Rubio Perez,3
Murilo Rua,0
Brandon Royval,3
Phil Rowe,0
Mauricio Rua,0
Ronda Rousey,2
Ray Routh,3
Jared Rosholt,0
Jake Rosholt,2
Jacob Rosales,0
Raul Rosas Jr.,2
Aaron Rosa,0
Charles Rosa,3
George Roop,3
Ben Rothwell,3
Rongzhu,0
Karol Rosa,0
Juancamilo Ronderos,3
Mara Romero Borella,3
Jesse Ronson,0
Cortavious Romious,3
Anthony Romero,0
Kaleio Romero,0
Ricardo Romero,0
Yoel Romero,0
Alexandr Romanov,2
Tim Roman,3
Jared Rollins,0
Max Rohskopf,3
Marcelo Rojo,3
Shane Roller,3
Brian Rogers,3
Marcos Rogerio de Lima,0
Christian Rodriguez,0
Piera Rodriguez,2
Ronaldo Rodriguez,0
Drako Rodriguez,3
Ray Rodriguez,3
Daniel Rodriguez,0
Marina Rodriguez,0
Manuel Rodriguez,1
Kleydson Rodrigues,0
Ricco Rodriguez,0
Gregory Rodrigues,0
Yair Rodriguez,0
Keith Rockel,2
Luke Rockhold,0
Alvin Robinson,0
Vagner Rocha,3
Kenny Robertson,0
Colin Robinson,2
Gillian Robertson,0
Roosevelt Roberts,0
Daniel Roberts,3
Danny Roberts,3
Karl Roberson,0
Theo Rlayang,0
Kali Robbins,0
Irwin Rivera,0
Pedro Rizzo,3
Francisco Rivera,3
Jimmie Rivera,3
Diego Rivas,3
Jorge Rivera,0
Mike Rio,3
Maria Rios,3
Nick Ring,3
Robbie Ring,3
Jordan Rinaldi,3
Moise Rimbon,3
Aaron Riley,3
Brad Riddell,0
Matthew Riddle,2
Joe Riggs,0
Matt Ricehouse,0
Tabatha Ricci,3
Esteban Ribovics,0
Mike Ricci,3
Brendson Ribeiro,0
Will Ribeiro,3
Amanda Ribas,3
Vitor Ribeiro,3
Claudio Ribeiro,0
Mike Rhodes,3
Lucrezia Ria,0
Alex Reyes,0
Dominick Reyes,0
Solomon Renfro,0
Marion Reneau,3
Goran Reljic,3
Montserrat Rendon,3
Chance Rencountre,3
Ben Reiter,2
Wilson Reis,3
Chad Reiner,3
Zachary Reese,2
Johnny Rees,0
Stephen Regman,2
Jason Reinhardt,3
Elise Reed,0
Karl Reed,0
Rafael Rebello,3
Mateusz Rebecki,2
Iony Razafiarison,3
Abdul Razak Alhassan,0
Gideon Ray,3
Stevie Ray,0
Bec Rawlings,3
Ed Ratcliff,3
Mitch Raposo,3
Kevin Randleman,0
Dorian Ramos,0
Davi Ramos,3
Luis Ramos,3
Amador Ramirez,0
Ricardo Ramos,3
Mitch Ramirez,3
Hector Ramirez,3
Matt Ramirez,0
Jessica Rakoczy,0
Shavkat Rakhmonov,0
Aleksandar Rakic,0
Charles Radtke,0
Loik Radzhabov,2
Ricky Rainey,0
Cristian Quinonez,3
Jose Quinonez,0
Landon Quinones,3
Jimmy Quinlan,2
Josh Quinlan,3
Vinicius Queiroz,2
Billy Quarantillo,0
Nate Quarry,0
Qiu Lun,0
Tucker Lutz,0
Travis Lutter,3
Dalcha Lungiambula,0
Vicente Luque,0
Mike Lullo,3
Duane Ludwig,0
Iasmin Lucindo,0
Stephanie Luciano,3
Matt Lucas,0
Lu Kai,3
Waylon Lowe,2
Ian Loveland,3
Caolan Loughran,3
Gustavo Lopez,3
Jorge Lopez,2
Matthew Lopez,2
Bruno Lopes,3
Dileno Lopes,3
Diego Lopes,0
Ange Loosa,0
Loma Lookboonmee,0
Michael Lombardo,0
David Loiseau,0
Artem Lobov,3
Dylan Lockard,0
Ryan Loder,0
Hector Lombard,0
Abner Lloveras,0
Dean Lister,3
Lucio Linhares,3
Philipe Lins,0
Tainara Lisboa,0
Austin Lingo,3
Jake Lindsey,0
John Lineker,3
Matt Lindland,2
Felipe Lima,0
Andre Lima,0
Douglas Lima,3
Juliana Lima,0
Dhiego Lima,3
Jae Suk Lim,1
Hyun Gyu Lim,3
Zach Light,3
Donnie Liles,3
Jess Liaudin,2
Liang Na,2
Malik Lewis,2
Li Jingliang,3
Brandon Lewis,3
Natan Levy,2
Derrick Lewis,0
Marcus LeVesseur,2
Leah Letson,3
Justin Levens,0
Valerie Letourneau,3
Brock Lesnar,2
Anthony Leone,0
Kimo Leopoldo,2
Victoria Leonardo,3
Nik Lentz,2
Jesse Lennox,3
Amanda Lemos,0
Claudia Leite,0
Sherron Leggett,2
Thales Leites,3
Ricky Legere Jr.,2
Cheyden Leialoha,3
ChangHo Lee,2
Rocky Lee,0
JeongYeong Lee,0
Andrea Lee,0
Vaughan Lee,0
Kevin Lee,3
Tae Hyun Lee,3
James Lee,1
Justin Ledet,3
Stephen Ledbetter,2
Jordan Leavitt,0
Chris Leben,3
Carlos Leal,0
Quang Le,3
Mounir Lazzez,0
Valmir Lazaro,3
Ronnie Lawrence,2
Cung Le,0
Eric Lawson,1
Lance Lawrence,0
Justin Lawrence,3
Tom Lawlor,3
Muhammed Lawal,2
Robbie Lawler,0
Dan Lauzon,3
Jenel Lausa,3
Joe Lauzon,3
Bobby Lashley,1
Jeremy Larsen,0
Ilir Latifi,0
Brock Larson,0
TJ Laramie,0
Chad Laprise,3
Taylor Lapilus,0
Lorenz Larkin,0
Lina Lansberg,0
Jeremy Lang,2
Jose Landi-Jons,3
Austen Lane,0
Nate Landwehr,0
Jason Lambert,0
Ricardo Lamas,0
Yohan Lainesse,3
Corinne Laframboise,2
Noad Lahat,0
Ryan LaFlare,3
Luan Lacerda,0
Aspen Ladd,0
Daniel Lacerda,0
Steve Byrnes,2
Dennis Buzukja,0
Charles Byrd,0
JP Buys,3
Jason Butcher,1
Bubba Bush,2
Murilo Bustamante,3
George Bush,1
Dakota Bush,3
Herbert Burns,3
Kevin Burns,3
Mads Burnell,3
Gilbert Burns,0
Abubakar Nurmagomedov,0
Achmed Labasanov,3
Kennedy Nzechukwu,0
Diyar Nurgozhay,0
Umar Nurmagomedov,2
Said Nurmagomedov,0
Khabib Nurmagomedov,2
Nina Nunes,0
Diego Nunes,0
Amanda Nunes,2
Phillipe Nover,3
Jason Novelli,3
Scott Norton,3
Shayilan Nuerdanbieke,2
Shohei Nose,3
Sage Northcutt,0
Tom Nolan,0
KJ Noons,3
Kyle Noke,0
Antonio Rodrigo Nogueira,3
Rogerio Nogueira,3
Anthony Njokuani,0
Felipe Bunes,0
Shane Burgos,0
Joshua Burkman,3
Modestas Bukauskas,3
Paul Buentello,0
Joaquin Buckley,3
Martin Buday,0
Dylan Budka,3
Mayra Bueno Silva,0
Julia Budd,2
Lukasz Brzeski,0
Travis Browne,3
Fernando Bruno,3
Steve Bruno,0
Cody Brundage,0
Junie Browning,2
Humberto Brown Morrison,0
Damien Brown,3
TJ Brown,2
Derek Brunson,2
Randy Brown,0
Jarred Brooks,2
Will Brooks,0
Mike Brown,2
Matt Brown,0
Joanderson Brito,2
Jonathan Brookins,3
Antwain Britt,3
Mats Nilsson,3
Guangyou Ning,3
Tom Niinimaki,2
Jaimelene Nievera,0
Stewart Nicoll,2
Ramsey Nijem,2
Bo Nickal,2
Mike Nickels,1
Steven Nguyen,3
Emanuel Newton,0
Matheus Nicolau,0
Ben Nguyen,3
Francis Ngannou,3
Journey Newson,3
Carlos Newton,3
Antonio Braga Neto,3
Julio Cesar Neves Jr.,3
Eduardo Neves,2
Mario Neto,2
Kyle Nelson,0
Gunnar Nelson,0
Shane Nelson,3
Nicolae Negumereanu,3
Roy Nelson,3
Stanislav Nedkov,3
Geoff Neal,0
Josh Neer,0
Danny Navarro,3
Tafon Nchukwi,0
Kevin Natividad,3
Ismail Naurdiev,0
Pawel Nastula,2
Rafael Natal,0
Nasrudin Nasrudinov,2
Bobby Nash,3
Rodrigo Nascimento,0
Allan Nascimento,0
Yasuhito Namekawa,0
Nad Narimani,3
Rose Namajunas,3
Yoshihiro Nakao,3
Yui Chul Nam,0
Marcus Brimage,3
Jason Brilz,3
Robert Breslin,0
Charlie Brenneman,2
Elves Brener,0
Mike Breeden,0
Martin Bravo,3
Bruna Brasil,0
David Branch,3
Diego Brandao,2
Joe Brammer,3
Paul Bradley,3
Ramiz Brahimaj,0
Kyle Bradley,3
Colley  Bradford,1
Sean Brady,2
Roger Bowling,2
Brian Bowles,3
Steve Bosse,0
Poliana Botelho,0
Caio Borralho,0
Rogerio Bontorin,2
Tokitaka Nakanishi,2
Ray Borg,2
Stephan Bonnar,3
Jesse Bongfeldt,0
Rinya Nakamura,0
Keita Nakamura,3
Daisuke Nakamura,3
Rin Nakai,3
Muhammad Naimov,3
Kazuhiro Nakamura,3
Yura Naito,0
Ismael Bonfim,0
Katsuhiko Nagata,3
Denys Bondar,2
Gabriel Bonfim,2
Gaston Bolanos,0
Mandy Bohm,0
Roman Bogatov,3
Galore Bofando,0
Kyle Bochniak,3
Mark Bocek,2
Dan Bobish,0
Tim Boetsch,0
Tereza Bleda,0
Erin Blanchfield,0
Curtis Blaydes,2
Da'Mon Blackshear,0
Maximo Blanco,0
Sherrard Blackledge,2
Brad Blackburn,3
Jason Black,0
Davi Bittencourt,1
Jan Blachowicz,0
Anthony Birchak,3
Angad Bisht,0
Michael Bisping,3
Blake Bilder,0
David Bielkheden,2
Bibulatov Magomed,2
Arjan Bhullar,0
Matt Bessette,3
Allen Berube,2
Anton Berzin,0
Edson Berto,2
Talita Bernardo,3
Keith Berish,3
Dennis Bermudez,2
Manny Bermudez,2
Steve Berger,3
